StatNam;StatNr;praef;Fangradius;DEN;WTC;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Hanau/Steinheim 1;72;2500;3500;N;M;2913;7843;37%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;43.7436390025165s
Hanau/Steinheim 1;72;2500;3500;N;NA;8;80;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;17.8072051650691s
Hanau/Steinheim 1;72;2500;4000;D;H;3562;4264;84%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;48.2427271525842s
Hanau/Steinheim 1;72;2500;4000;D;L;42;79;53%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;19.9164311543297s
Hanau/Steinheim 1;72;2500;4000;D;M;7991;10355;77%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;47.9322457361034s
Hanau/Steinheim 1;72;2500;4000;D;NA;148;198;75%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;31.9785255551624s
Hanau/Steinheim 1;72;2500;4000;E;H;1150;1360;85%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;46.3725448267907s
Hanau/Steinheim 1;72;2500;4000;E;L;20;40;50%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;20.1430861226841s
Hanau/Steinheim 1;72;2500;4000;E;M;3529;4362;81%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;47.8083975191848s
Hanau/Steinheim 1;72;2500;4000;E;NA;53;68;78%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;29.8527976819929s
Hanau/Steinheim 1;72;2500;4000;N;H;106;1095;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;32.7934120610359s
Hanau/Steinheim 1;72;2500;4000;N;L;6;68;9%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;13.2961353752045s
Hanau/Steinheim 1;72;2500;4000;N;M;2915;7892;37%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;43.7519701026745s
Hanau/Steinheim 1;72;2500;4000;N;NA;8;82;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;17.8072051650691s
Rodgau;205;1000;500;D;H;3;4;75%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;17.8696137281111s
Rodgau;205;1000;500;D;L;1;2;50%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;500;D;M;9;45;20%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;16.0603017584872s
Rodgau;205;1000;500;E;H;2;2;100%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;20.1295434507422s
Rodgau;205;1000;500;E;M;5;18;28%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;23.2520128118445s
Rodgau;205;1000;500;N;H;4;9;44%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;17.7905796785596s
Rodgau;205;1000;500;N;M;106;145;73%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;31.5175700998983s
Rodgau;205;1000;500;N;NA;1;1;100%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;18.1212456368683s
Rodgau;205;1000;1000;D;H;285;399;71%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;36.2551762890499s
Rodgau;205;1000;1000;D;L;1;5;20%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;1000;D;M;263;838;31%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;30.6003293755166s
Rodgau;205;1000;1000;D;NA;14;16;88%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;22.7220674896891s
Rodgau;205;1000;1000;E;H;115;183;63%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;37.7772648860993s
