StatNam;StatusNr;DEN;n;arithMSEL;arithMLasMax;arithMLasMaxCalc
Wiesbaden/Erbenheim;-64;D;31;NA;59,9354838709677;55
Wiesbaden/Erbenheim;-64;E;9;NA;61,6666666666667;56,8444444444444
Wiesbaden/Erbenheim;-62;D;36;NA;61,25;52,3666666666667
Wiesbaden/Erbenheim;-62;E;11;NA;59,2727272727273;51,8727272727273
Wiesbaden/Erbenheim;-56;D;17;NA;71,5882352941177;58,6352941176471
Wiesbaden/Erbenheim;-56;E;2;NA;74,5;59,75
Wiesbaden/Erbenheim;-54;D;380;NA;57,3736842105263;54,9852631578947
Wiesbaden/Erbenheim;-54;E;83;NA;57,2650602409639;55,8192771084337
Wiesbaden/Erbenheim;-54;N;31;NA;57,9032258064516;52,7
Wiesbaden/Erbenheim;-52;D;32;NA;59,96875;59,99375
Wiesbaden/Erbenheim;-52;E;11;NA;59,9090909090909;53,4
Wiesbaden/Erbenheim;-52;N;10;NA;59,6;60,83
Wiesbaden/Erbenheim;-51;D;265;NA;53,9622641509434;52,5505660377358
Wiesbaden/Erbenheim;-51;E;88;NA;52,9772727272727;51,9863636363636
Wiesbaden/Erbenheim;-51;N;13;NA;50,8461538461538;39,1923076923077
Wiesbaden/Erbenheim;-43;D;39;NA;0;56,6435897435897
Wiesbaden/Erbenheim;-43;E;10;NA;0;56,1
Wiesbaden/Erbenheim;-43;N;6;NA;0;62,4333333333333
Wiesbaden/Erbenheim;-41;D;39;NA;0;55,8923076923077
Wiesbaden/Erbenheim;-41;E;9;NA;0;59,9111111111111
Wiesbaden/Erbenheim;-41;N;1;NA;0;53,3
Wiesbaden/Erbenheim;0;D;464;74,57875;63,75;61,5950431034483
Wiesbaden/Erbenheim;0;E;181;75,8756906077348;64,4364640883978;62,3403314917127
Wiesbaden/Erbenheim;0;N;76;77,4430263157895;65,9078947368421;63,8947368421053
