StatNam;StatNr;praef;Fangradius;DEN;Gewichtsklasse;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Hanau/Steinheim 1;72;2500;3000;E;nicht heavy;4458;6484;69%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.7761369871459s
Hanau/Steinheim 1;72;2500;3000;N;Alle Gewichtsklassen;1004;1624;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;41.3014505425276s
Hanau/Steinheim 1;72;2500;3000;N;heavy;398;660;60%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;39.2788052861875s
Hanau/Steinheim 1;72;2500;3000;N;nicht heavy;606;964;63%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;37.0106616824756s
Hanau/Steinheim 1;72;2500;3500;D;Alle Gewichtsklassen;13497;20904;65%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;51.5331783975254s
Hanau/Steinheim 1;72;2500;3500;D;heavy;3863;5321;73%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.4336993529815s
Hanau/Steinheim 1;72;2500;3500;D;nicht heavy;9634;15583;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.6102630893278s
Hanau/Steinheim 1;72;2500;3500;E;Alle Gewichtsklassen;5020;7246;69%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;49.9803525415178s
Hanau/Steinheim 1;72;2500;3500;E;heavy;554;718;77%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;43.7821420204881s
Hanau/Steinheim 1;72;2500;3500;E;nicht heavy;4466;6528;68%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.7885904398041s
Hanau/Steinheim 1;72;2500;3500;N;Alle Gewichtsklassen;1004;1632;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;41.3014505425276s
Hanau/Steinheim 1;72;2500;3500;N;heavy;398;663;60%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;39.2788052861875s
Hanau/Steinheim 1;72;2500;3500;N;nicht heavy;606;969;63%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;37.0106616824756s
Hanau/Steinheim 1;72;2500;4000;D;Alle Gewichtsklassen;13503;20960;64%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;51.5339818387189s
